Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Shot,SCA_Fld,SCA_DefAct,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Shot,GCA_Fld,GCA_DefAct
Noah Allen,us USA,DF,Inter Miami,21-008,2004,7.3,4,0.55,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Tadeo Allende,ar ARG,"FW,MF",Inter Miami,26-075,1999,4.5,9,2.01,6,0,2,1,0,0,1,0.22,1,0,0,0,0,0,Matches
Miguel Almirón,py PAR,"FW,MF",Atlanta Utd,31-085,1994,9.9,42,4.26,30,1,3,3,3,2,2,0.20,2,0,0,0,0,0,Matches
Alejandro Alvarado Jr.,us USA,MF,San Diego FC,21-281,2003,2.1,4,1.95,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Fernando Álvarez,co COL,DF,CF Montréal,21-255,2003,4.6,5,1.09,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pedro Amador,pt POR,DF,Atlanta Utd,26-139,1998,6.7,13,1.94,13,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Frankie Amaya,us USA,MF,LAFC,24-222,2000,0.2,1,5.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Malte Amundsen,dk DEN,DF,Columbus Crew,27-084,1998,7.2,8,1.10,6,0,1,0,0,1,2,0.28,1,0,0,0,0,1,Matches
Tomas Ángel,co COL,"FW,MF",San Diego FC,22-075,2003,3.3,13,3.90,9,1,0,2,1,0,2,0.60,2,0,0,0,0,0,Matches
Iván Angulo,co COL,"FW,MF",Orlando City,26-045,1999,9.4,23,2.45,21,0,1,0,0,1,1,0.11,1,0,0,0,0,0,Matches
Conner Antley,us USA,"DF,MF",D.C. United,30-045,1995,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Antony,br BRA,"FW,MF",Portland Timbers,23-240,2001,9.9,31,3.13,28,0,1,1,1,0,8,0.81,7,0,1,0,0,0,Matches
Brian Anunga,cm CMR,MF,FC Cincinnati,28-269,1996,7.0,6,0.86,5,1,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
Chris Applewhite,us USA,DF,Nashville SC,17-256,2007,0.2,1,6.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Cristian Arango,co COL,"MF,FW",SJ Earthquakes,30-058,1995,10.8,38,3.53,28,1,2,3,3,1,5,0.46,5,0,0,0,0,0,Matches
César Araujo,uy URU,MF,Orlando City,24-034,2001,6.0,16,2.67,9,0,0,1,4,2,2,0.33,1,0,0,0,1,0,Matches
Maximilian Arfsten,us USA,"MF,DF",Columbus Crew,24-017,2001,10.0,26,2.60,20,1,4,0,1,0,4,0.40,4,0,0,0,0,0,Matches
Daniel Armando Ríos,mx MEX,FW,Vancouver W'caps,30-073,1995,4.6,10,2.17,5,0,1,4,0,0,1,0.22,1,0,0,0,0,0,Matches
Paul Arriola,us USA,"FW,DF",Seattle Sounders,30-090,1995,0.8,1,1.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Artur,br BRA,MF,Houston Dynamo,29-056,1996,11.0,16,1.46,16,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Joshua Atencio,us USA,MF,Colorado Rapids,23-095,2002,8.4,20,2.38,19,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Eduard Atuesta,co COL,MF,Orlando City,27-322,1997,6.8,32,4.68,21,6,1,1,2,1,7,1.02,5,0,0,0,1,1,Matches
Julián Aude,ar ARG,DF,LA Galaxy,22-043,2003,5.6,11,1.95,10,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Tomás Avilés,ar ARG,"DF,MF",Inter Miami,21-092,2004,4.6,4,0.88,3,1,0,0,0,0,1,0.22,1,0,0,0,0,0,Matches
Chidozie Awaziem,ng NGA,DF,Colorado Rapids,28-125,1997,10.7,6,0.56,5,0,0,1,0,0,1,0.09,0,0,0,1,0,0,Matches
Obafemi Awodesu,us USA,DF,Houston Dynamo,24-031,2001,11.0,3,0.27,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
David Ayala,ar ARG,MF,Portland Timbers,22-284,2002,9.5,14,1.47,10,0,0,3,0,1,1,0.11,0,0,0,1,0,0,Matches
Dominique Badji,sn SEN,"FW,MF",D.C. United,32-202,1992,3.6,4,1.12,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Jeevan Badwal,ca CAN,"MF,FW",Vancouver W'caps,19-056,2006,1.4,1,0.70,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
