,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
91,89,Brandt Bronico,us USA,MF,Charlotte,29-307,1995,7.3,8,1.10,6,0,1,1,0,0,1,0.14,0,0,1,0,0,0,Matches
92,90,Lachlan Brook,au AUS,FW,Real Salt Lake,24-074,2001,0.9,3,3.18,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
93,91,Javain Brown,jm JAM,DF,Real Salt Lake,26-045,1999,2.2,2,0.93,0,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
94,92,Tristan Brown,us USA,DF,Columbus Crew,17-188,2007,0.2,1,5.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
95,93,Gastón Brugman,uy URU,MF,Nashville SC,32-228,1992,3.6,15,4.12,13,0,1,0,1,0,2,0.55,2,0,0,0,0,0,Matches
96,94,Ola Brynhildsen,no NOR,"FW,MF",Toronto FC,25-361,1999,2.2,2,0.90,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
97,95,Pavel Bucha,cz CZE,MF,FC Cincinnati,27-043,1998,8.4,29,3.47,23,2,2,0,1,1,3,0.36,2,0,1,0,0,0,Matches
98,96,Noel Buck,eng ENG,"MF,DF",NE Revolution,20-018,2005,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
99,97,Dawid Bugaj,pl POL,DF,CF Montréal,20-288,2004,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
100,98,Osman Bukari,gh GHA,MF,Austin,26-131,1998,6.6,29,4.42,22,0,3,3,1,0,2,0.30,1,0,1,0,0,0,Matches
